ID,RegionName,NVotes,Leave,Residents,Households,MeanAge,AdultMeanAge,Age_0to4,Age_5to7,Age_8to9,Age_10to14,Age_15,Age_16to17,Age_18to19,Age_20to24,Age_25to29,Age_30to44,Age_45to59,Age_60to64,Age_65to74,Age_75to84,Age_85to89,Age_90plus,White,Black,Asian,Indian,Pakistani,Owned,OwnedOutright,SocialRent,PrivateRent,NoQuals,L4Quals_plus,Students,Unemp,UnempRate_EA,HigherOccup,Density,Deprived,MultiDepriv
828,West Midlands,7208,-1,12218,5099,43.1,51.8,4.7,3.5,2.2,5.8,1.5,2.9,1.9,5.1,5.2,18.1,20.9,6.5,10.1,7.8,2.4,1.6,84.3,2.5,12,5.3,3.9,82.2,34.2,5.5,11.4,20,35.2,3,3.6,5,46.1,32.6,50.9,19.5
829,West Midlands,3110,-1,4998,1981,40.2,48.6,5.5,2.8,1.9,6.8,1.4,3,2.5,5.5,5.7,20.8,21.7,6.9,8.7,4.2,1.5,1.1,98.5,0.5,0.8,0.3,0.3,76.4,26.7,14.5,8.1,24.2,22.3,2.5,4.6,6.3,32,5.6,53.7,22.7
830,West Midlands,6193,-1,12977,5252,38.1,47.4,7.3,3.8,2.2,6.1,1.5,2.8,2.8,6.6,7.2,19.9,18.3,5.5,8.7,5.7,1.1,0.5,91.7,2.3,5.3,1.4,2.4,54.9,21.4,33.5,9.3,38.8,9.9,2.9,6.8,10.4,16,29.2,72.3,37.9
831,West Midlands,5841,-1,12505,5604,36.7,46.3,8.6,3.9,2.3,6.4,1.4,2.6,2.8,8.3,6.8,18.8,17.1,6.1,9.7,3.9,0.9,0.4,91.5,6.8,1.2,0.3,0.1,46.7,15.5,43.7,8.7,39.7,8.6,2.8,9.3,14.4,15.9,47.9,75,41
832,West Midlands,8349,-1,13449,5447,38.8,46.9,5.8,3.5,2.1,6.1,1.2,2.5,2.3,6,6.4,22.2,22.6,6.9,7.3,3.5,1,0.5,95.1,1.4,3.2,0.9,1.5,81.1,27.3,8.7,8.5,21.5,22.5,3,3.6,4.7,33,42.9,50.5,20.5
833,West Midlands,2393,-1,5158,2042,37.2,45.9,7.2,3.6,2,6.7,1.2,2.4,2.3,7.4,7,22.1,19.6,5,8.2,3.8,1,0.4,97.3,0.8,1.6,0.8,0.1,65.7,19.3,22.7,8.3,28.6,19.8,2.7,4.4,6.1,28.9,3.6,56.5,26.6
834,West Midlands,6714,-1,14272,6190,38.7,47.3,6.4,3.6,2.5,6,1.3,2.3,2.6,6,7.1,21.8,19.6,4.7,8.3,5.9,1.2,0.6,79.4,6.6,13,6.7,4,59.6,22.2,25.4,12.5,30.8,19.1,4.1,6.6,9.6,26.7,41,65.9,34.5
835,West Midlands,8052,-1,13588,5377,42.8,51.7,4.1,2.9,2.2,7,1.7,3.3,2.4,4.9,3.7,16,25.2,7.1,9.8,7,1.8,0.9,86.1,1.3,11.1,6.1,2.4,88.6,38.1,1.2,9.4,10.6,45.3,4,2.5,3.5,56.8,20.1,39.6,10.1
836,West Midlands,7068,-1,11553,4887,43.6,52.1,4.8,3.2,2.1,5.9,1.2,2.4,1.9,4.6,4.6,18.8,20.2,7.1,12.7,7.9,1.7,0.7,97.2,1.1,1.6,0.6,0.3,78.2,33.2,13.3,7.5,31.9,18,2.4,4.3,6.4,28,28,61.5,29.4
837,West Midlands,6123,-1,11282,4983,43.6,51.5,4.7,2.8,1.9,5.6,1.3,2.5,2.3,5.7,5.4,18.5,19.1,5.9,12,10.4,1.4,0.5,92,3.2,3.9,2.7,0.1,70.2,30.4,23.2,5.4,38.8,12.6,2.7,5.7,8.7,19.8,51.1,70.3,37.8
838,West Midlands,4247,-1,8180,3212,38,47.6,7.3,3.4,2.6,6.9,1.6,2.8,2.7,5.7,5.7,21.3,19.2,6.7,7.1,4.8,1.4,0.7,87.5,1,11,3.5,3.8,66.9,24.1,19.7,11.7,27.6,20.5,3.9,4.9,6.7,28.1,30.7,59,26.3
839,West Midlands,11016,-1,25864,9912,36.4,46.8,7.8,4.5,2.8,7.5,1.5,2.9,2.9,6.8,6.8,19.6,17.5,4.7,7.2,5.2,1.4,0.8,68,9.4,21.1,2.2,14.1,62,21.6,23.1,13.4,35.6,15.1,4.6,7.7,11.8,20.3,56.4,70.9,37.7
840,West Midlands,2184,-1,4762,1946,40.4,48.7,5.3,3.6,2,6.2,1.1,2.7,2.6,6,5.4,19,23.8,6.5,9.2,5.2,1,0.4,97.6,0.8,1.5,0.9,0,74,29,19.2,6,24.2,22.6,3,4.3,5.9,32.8,24.6,55.7,22.2
841,West Midlands,6090,-1,11458,4865,40.1,48.7,6.3,3.5,2.1,5.9,1.3,2.3,2.6,6.4,5.9,20.3,19.3,5.8,9.8,6.4,1.6,0.5,79.3,5.4,13.4,9.9,0.3,67.8,28.4,20.5,10.2,35.1,14,3.2,6.7,10,20.4,29.7,69.2,35.6
842,West Midlands,7014,-1,13497,5402,39.3,48.8,6.9,4.2,2.5,5.9,1.3,2.4,2.4,5.4,6.7,20.7,17.7,5.8,9.6,6.2,1.7,0.5,93.1,2.5,3.8,0.8,2.2,66.8,26.6,22.2,9,37.6,12.1,2.8,5.5,8.1,19.8,43.9,67.8,35
843,West Midlands,6331,-1,15151,6472,36.4,44,6.6,3.5,2.1,5.4,1.1,2.7,4.1,9.9,8.9,20.8,17.1,4.7,6.9,4.6,1.2,0.6,57.4,9.5,30.9,7.8,12.1,51.9,22.7,27.2,18.9,25.9,24.1,8.9,9.2,14.3,28.5,25.6,67.7,34.3
844,West Midlands,13170,-1,25776,11056,37,44.4,6.2,3.2,2.1,5.4,1.2,2.3,2.3,7.1,10.5,24.8,18.3,4.8,5.9,4.2,1.1,0.7,61.4,8.1,26.9,6.2,15.1,61.1,26.3,13.4,23.7,17.6,46.3,6.1,6.3,8.8,48.2,45.3,54.1,25
845,West Midlands,7492,-1,12129,5059,43.9,52,4.5,3.1,1.8,5.4,1.2,2.9,2.3,5.2,5,17.5,21.4,6.8,10.6,8.6,2.5,1.2,89.9,1.3,7.6,4.2,1.4,82.9,35.6,7.2,9,21.7,27.9,3.2,3.1,4.3,39.5,32.1,52.5,20.4
846,West Midlands,5965,-1,12294,5067,39.9,49.1,6.2,3.6,2.3,6.8,1.1,2.6,2.6,5.9,6.4,20,18.2,5.5,9.3,7.1,1.6,0.8,74.6,7.3,16.5,12.5,0.6,66.7,28.6,22.9,8.9,35.1,14.5,3.5,7.3,10.9,20.5,40.5,68.6,35.6
847,West Midlands,3198,-1,5540,2236,34.3,43.1,7.8,4.4,2.9,6.4,1.2,2.5,2.1,5,7.3,28.5,21.1,4,4.6,1.8,0.3,0,94.7,1,3.9,1.1,0.4,77.4,16.2,4.3,17.8,9.7,37.6,2.8,2.7,3.2,48.1,22.8,33.7,8.4
848,London,11267,-1,15972,6135,41.1,50.6,5,3.7,2.6,7.3,1.5,2.9,2.2,5.3,4.3,17.8,22.3,7.2,8.9,6.1,1.8,1,91.7,3,4,1.3,0.2,89.1,33.7,2.9,7.4,15.7,31.8,3.4,2.9,4,44.4,15.1,46.7,13.8
849,London,5079,-1,15491,6292,34.9,42.4,7.2,3.7,2.2,5.4,1.2,2.1,1.9,7.6,11.3,27.6,16.6,3.7,4.9,3.1,1,0.5,60,13.2,16.5,3.3,1.9,41,15.7,19.7,37,14.3,40.4,8.1,5,6.9,40.8,89.5,63.7,27.8
850,London,9150,-1,16896,7445,37.9,46.1,7.7,3.5,2.2,4.9,1.1,2,1.7,5.3,8.3,26.7,17.9,4.9,6.8,5.1,1.3,0.7,81.5,7,8.7,3.2,0.4,68.5,23.4,7.9,22,13.1,41,3.3,3.7,4.8,50.3,46.7,47.8,16.5
851,London,5216,-1,15606,5837,31.3,40.6,10.3,4.6,2.5,6.4,1.2,3.2,2.8,6.4,10,27.8,15.5,3.1,3.8,2,0.4,0.1,64.5,10.9,21.4,10.2,2.8,44.7,9.3,28.9,21,20.5,25,4.9,4.8,6.4,28.9,50.3,64.1,27
852,London,5513,-1,18784,7094,33.3,40.1,7.1,3.6,2,5.4,1.1,2.1,2.1,10,13.8,27,14.5,3,4.4,2.8,0.7,0.3,49.9,18.5,18.4,5.1,2.9,33.4,14.4,21.3,39.5,15,38.3,11.2,5.6,7.7,37.6,45.1,69.8,30.8
853,London,5981,-1,16331,5837,33.4,43.4,8.7,4.4,3.2,7.5,1.6,3.1,2.9,7.7,7.6,22.1,18,3.8,5.5,3,0.6,0.2,45.7,30,15.1,4.1,0.7,48.8,16.5,19.6,29.4,27.2,21.4,8.1,7.2,11.2,23.5,93.2,72.3,37.2
854,London,5080,-1,11527,4004,31.5,43.9,10.4,6,3.9,8.9,1.9,3.6,3.4,7.4,6,19.6,15.7,3.1,5.5,3.7,0.6,0.2,65.6,27.6,4.7,0.7,0.9,30.6,9.4,62.6,5.7,34.4,12.5,6.1,8.4,13,17.8,79.6,76.1,40
855,London,7365,-1,12929,6100,39,45.9,6.6,3,1.7,4.1,0.9,1.6,1.7,5.3,8.7,29.6,17.1,4.7,7.4,4.8,1.8,1.1,83.1,7.2,7.3,2.1,0.3,54.2,22.1,19.3,24.5,12.1,57.5,5.1,3.6,4.8,62.5,62,47.7,18.1
856,London,5135,-1,12540,5154,36.3,44.9,6.6,3.9,2.5,6.9,1.3,2.2,1.7,5.2,9,26.2,19.2,4.2,5.6,3.3,1.3,0.8,79.9,6.8,9,2.3,0.5,58.8,22.3,10.4,28.8,9.2,58.4,4.8,3.9,5.1,59.6,64.5,47.3,16.7
857,London,8279,-1,15246,5594,34.6,44,8.7,4.3,2.6,6.4,1.5,2.7,2.5,6.4,7.8,25.6,16.7,4.2,5.6,3.6,0.9,0.5,48.3,17.3,28.2,8.4,3.1,50.2,15.8,23.8,23.1,21.5,25.7,6.3,5.6,8,26.6,56.8,68.4,31.4
858,London,6336,-1,11844,4621,36.2,45,7.3,4.4,2.5,6.2,1.3,2.4,1.9,4.3,7.6,26.8,20.4,5.2,6.1,2.8,0.7,0.4,79.5,7.9,8.2,2.1,0.5,68.6,25.3,8.3,22.3,8,58.5,5.1,3.9,5.1,61.4,46.4,43.7,14.8
859,London,5393,-1,14774,4884,35.9,44.1,7.2,3.7,2.4,5.7,1.3,2.4,2.1,7.1,10,24,18,4.8,6.4,3.8,0.8,0.4,43.6,13,37.8,17.4,5.4,62.6,22.2,7.7,27.8,16.9,30.1,6.5,4.8,6.6,29.3,46.7,63.7,26.7
860,London,5902,-1,17446,6248,32.8,42.8,9.1,5,2.9,7.4,1.4,3.1,2.8,7.8,8.7,22.3,16.8,3.5,5,3.2,0.6,0.3,42,32.9,15,3.8,0.9,42.3,13.8,29.2,26.3,28.3,21.5,8.8,7.4,11.5,22.2,67.6,75.5,38.3
861,London,4840,-1,9524,3666,38.4,46.7,6.6,4,2.2,5.7,1.1,2.1,1.7,5.5,8.2,24.8,18.1,5.5,7.6,5.1,1.2,0.7,70.8,3.6,21.9,4.7,5.4,71,29.9,3.2,24.6,11.5,50.1,5.6,3.3,4.5,54.7,53.8,46.2,16
862,London,5263,-1,10068,4134,41.9,50.5,5.5,3.4,2.2,5.8,1.2,2.4,1.8,4.8,6.1,20.3,19.7,7,9.6,7.1,2,1.1,62,6.2,28.9,17.3,2.8,69.4,30.9,13.6,15.7,14.7,44.3,4.4,3.6,5.2,51,31.6,51.5,19.2
863,London,7276,-1,13981,5487,40.5,48.8,5.8,3.2,1.9,5.7,1.3,2.7,2,5.9,6.8,20.5,20.6,6.1,8.5,6.1,1.6,1.1,73.2,10.9,10.8,3.7,1.3,78.5,31.4,5.1,15.5,20.4,32.6,4.6,4,5.6,41.5,56.7,54.5,22.1
864,London,6533,-1,13009,5118,43,51.3,5,3.1,2,5.9,1.1,2.6,2.3,6,4.7,17.1,21.8,7.5,10.1,7.8,2.1,0.9,91.3,3.4,4.5,2.1,0.7,88.7,36.1,4.4,6.4,25.7,19.9,2.8,3.2,4.5,33,33.8,57.8,21.4
865,London,4000,-1,11611,4238,37,45.5,7.3,3.6,2,5.8,1.3,2.9,2.7,7,8.2,23,18.1,4.6,6.8,4.7,1.3,0.7,61.1,7.5,27.8,11.1,4.8,58.6,17.9,20.2,18.7,26.1,21.1,5.7,4.2,5.9,24,35.2,68.4,30.9
866,London,6561,-1,13852,6210,33.8,38.7,5.5,2.8,1.7,3.8,0.7,1.1,1.1,9.8,19.7,29.6,14,2.7,4.1,2.3,0.7,0.3,70.7,19.9,6.1,1.1,0.2,32.4,11.7,29.4,35.8,10.9,59.7,5.3,4.6,5.6,60.3,126.9,53.6,21.4
867,London,6552,-1,14824,6086,34.1,43.1,8.7,4.4,2.7,6.3,1.1,2.3,2.1,6.2,8.4,28.1,17.2,3.4,4.8,2.9,0.8,0.6,52.3,36,7.3,1.8,1.2,43.1,12.1,30.1,25.4,15.9,38.2,6.2,7.4,10,40.2,103.3,61.2,27.8
868,London,7108,-1,13698,5887,34.4,42.5,9,4,2,5.1,1,1.8,1.7,5.8,10.2,30.2,16.6,3.8,4.9,2.8,0.8,0.3,63.7,24.7,7.2,1.9,0.7,42.8,13.7,26.6,29.1,12.7,50.3,5.9,5.8,7.5,50.9,92.8,53.8,23.1
869,London,6400,-1,12313,4985,42.5,50.5,4.3,3,1.9,6,1.4,3,2.3,6.1,5.2,17.8,22.4,6.9,9.9,7.3,1.9,0.6,92.7,2.8,3.8,1.7,0.2,87.1,36.4,4.9,7.4,25.3,17.9,2.8,3.4,4.8,31.4,51.3,57.9,21.9
870,London,4163,-1,12034,3650,35.7,44.3,6.8,4,2.5,6.5,1.3,2.7,2.3,8,9.4,21.8,18.6,4.3,6.4,3.9,0.7,0.6,25,7.7,63.9,43.2,3.4,65.1,25.7,4.1,29.3,20.8,30.5,7.7,4.7,6.8,29.5,76.5,64.7,28.1
871,London,7404,-1,14090,4189,35.5,43.8,6.5,4,2.4,6.4,1.4,2.9,2.8,8.3,9,23,18.3,4.4,5.3,3.9,1,0.5,22,16.8,53.9,31.4,8.6,45.7,19.7,31.8,18.7,21.8,26.7,8.7,7.5,11.8,25.4,38.1,74.5,41.4
872,London,5615,-1,14087,6210,37.6,43.4,5.3,2.6,1.7,4.2,0.8,1.8,1.4,7,13.3,29,16.6,4.4,5.9,3.8,1.4,0.9,69.5,6,18.5,7.1,1.4,46,21.2,9.1,42.1,7.3,57.7,6.1,4,5.3,58.6,77.9,53.7,17.7
873,London,5238,-1,11311,4932,36.6,44.6,6.6,3.7,2.3,5.7,1.3,2.4,2.1,6.5,9.7,25.3,17.8,4.4,6.5,4,1.2,0.5,69.9,11.2,13.4,1.3,0.3,32.5,14.6,44.9,20.6,17.8,45.6,7.5,5.6,8.2,48,168,65.7,34.4
874,London,6084,-1,12027,4600,43.2,51.2,4.1,2.9,2,6,1.3,2.9,2.6,6.2,5,16.1,22,7.6,10.9,8.1,1.7,0.6,82.3,3.8,12.6,7.1,2,91.1,38.5,2.7,5.5,23.1,24.3,3.6,2.6,3.7,38.4,26.6,54.2,19.5
875,London,6499,-1,12881,4531,33.9,43.6,8,4.5,2.8,7.3,1.7,3,2.4,6.9,8.1,24.3,17.1,4,5.1,3.4,0.9,0.4,33.7,15.6,46.9,18.6,3.5,46.5,14.8,24.9,26.3,19.2,29.2,7.4,5.7,8.4,30.9,87.7,68.1,31.6
876,London,10270,-1,15456,8138,41,46.9,5.8,2.3,1.3,3,0.7,1.6,1.1,4.9,10.4,28.5,17.8,5.7,7.8,6.2,1.9,1,82.6,7.4,7.5,2.7,0.3,61.2,25.4,9.9,27.1,12.1,45,2.5,3.6,4.6,54.6,48.2,44.7,14.6
877,London,5921,-1,14838,6454,33.5,39.9,6.4,3.4,2.4,5.2,1,1.9,1.8,9,13.5,29,16.8,2.8,3.7,2.6,0.4,0.2,55.7,32.2,6.7,0.9,0.4,24.1,8.1,45.5,28.2,16.2,41,8.6,7.1,9.2,40,175.1,67.9,31.1
878,London,8339,-1,16839,6804,37.3,47.8,7.5,4.3,2.8,7.6,1.4,3.1,2.5,6.1,5.7,20.4,18.7,5,7.3,4.8,1.9,0.9,86.1,8.3,4.3,1,0.2,59.3,19.4,32.5,6.3,28.5,18.7,3.7,5.4,7.9,27.9,43.9,65.6,32.1
879,London,5885,-1,14186,5576,33.1,40.2,8.4,3.8,2,4.5,0.8,1.9,1.8,7,15.7,29.1,14.5,2.9,4,2.6,0.7,0.3,49.3,16.9,26.6,3.1,13.8,46.7,14.5,17,34.5,18.3,35.7,9,5.5,7.5,33.9,47.5,65.7,29.8
880,London,7239,-1,12762,5276,41.3,49.5,6.1,3.1,1.8,5.4,1.2,2.4,1.8,6,6.5,20.4,20.4,6,9,6.5,2.1,1.3,80.4,6.4,8.9,3.2,0.8,78.9,34.3,3,16.9,16.1,39.1,4.6,3.5,4.8,47.2,39.9,50.2,17.4
881,London,5211,-1,13693,4884,32.6,41.2,8.9,4.6,2.7,5.8,1.2,2.4,2.2,8,10.9,27.1,15.3,3.1,4.4,2.5,0.5,0.3,41.8,19.5,32.2,4.8,18.1,41.6,14.4,22.4,33.5,20.8,30.9,9,5.7,8.4,28.3,96.6,67.8,33
882,London,7623,-1,15093,7004,33.4,38.7,6,2.7,1.9,3.8,0.8,1.8,1.9,8.2,18.3,31,14.2,2.8,3.9,2.1,0.5,0.2,67.9,15.9,10.9,1.5,0.6,30.5,11.3,33.5,32.6,12.6,56.3,7.6,4.8,6.2,56.9,143,61.9,23.8
883,London,7030,-1,14968,6297,33.9,41,8.3,3.2,2.1,4.9,0.9,1.7,1.5,7.4,12.8,30.6,15.2,3.1,4,3,0.8,0.4,56.9,28.9,9.9,2.2,1.8,38.8,11.9,20.8,37.6,13.9,42.6,6.3,5.8,7.4,42.9,105.8,57.9,24.3
884,London,7215,-1,16268,5977,34.5,43.9,8.4,4.2,2.4,6.7,1.4,3.2,2.4,7.1,8.1,22.6,19.9,3.8,5.4,3.4,0.7,0.3,26.5,40.2,29.3,11.1,7.1,56.8,18.1,11.1,29.7,17.9,29.4,8.6,6.3,8.8,30.4,115.4,65.5,28.1
885,London,5809,-1,12969,5300,40.2,49.2,6.5,3.7,2,5.9,1.3,2.5,2.3,6,6.1,19.8,19.4,6.3,8.9,6.8,1.8,0.7,88.5,5.7,4.7,1.8,0.6,78.9,28.5,10.3,9.7,29.6,16.3,3.1,4.3,6.1,27.2,43.7,62.7,26.5
886,London,5840,-1,13954,6143,34.3,39.6,5.6,2.6,1.8,4.4,0.9,1.7,2.6,12.9,14.9,25.7,14.7,3.3,5,3.1,0.7,0.2,65.3,16.2,13.3,1.4,0.7,22.3,8.2,45.4,29.6,21,39.1,12.8,5.5,8.4,42,125.7,70.7,33.5
887,London,4412,-1,11393,4877,37.3,44.9,6.7,4,2.2,4.8,0.7,2,1.5,5.4,9.5,27.2,19.9,4.9,6.3,3.4,1,0.6,81.2,5.9,8.7,2.6,0.7,56.5,24.4,14.9,27,9.3,55.7,5.3,3.6,4.7,60.3,57.5,44.7,15.6
888,London,7239,-1,13708,5468,42.6,51.6,6.4,3.4,2,5.4,1.1,2.6,1.9,4.7,3.9,19.3,21.5,7,11.3,7.2,1.6,0.8,90.8,2.1,6.1,2.4,0.2,89.7,38.1,2.2,7.1,15.2,36,2.8,2.5,3.6,50.1,32.6,44,13.3
889,London,7088,-1,18247,6771,32.2,40.6,9.3,4.5,2.3,5.7,1.2,2.5,2.4,8.5,10.5,27.3,15.7,3.1,3.8,2.1,0.6,0.5,45,30.7,20.6,5.5,2.3,29.7,8.8,37.4,30,21.4,28.6,10.1,8.4,11.9,25.7,120.9,69.3,34.2
890,London,6161,-1,12075,5670,35.9,41.6,5.7,2.7,1.8,4.4,0.9,1.5,2.5,9,13.3,27.9,15.8,3.8,6,3.4,0.8,0.5,69.4,14.5,10.3,1.8,0.6,29.7,10.3,41.3,26.5,16.8,46.9,10.8,5.7,8,47.8,120.5,63.9,30.6
891,London,5352,-1,11975,5115,34.3,40.1,5.9,2.6,1.8,4.9,1,1.7,4.4,11.6,12.8,24.9,15.6,3.7,5.3,2.9,0.6,0.3,68.1,12.9,14,1.6,0.5,30.2,12.7,41.2,27.1,13.9,48.1,15.8,4.8,7.1,50.1,162.1,64.6,30.4
892,London,4598,-1,12027,4913,35.1,43.6,8.2,3.7,2.4,5.6,1.4,2.3,2.1,6.2,8.7,27.8,17.5,4.4,5,3.4,0.9,0.5,65.2,12.1,17.9,6.4,2.8,41.4,11.7,37.1,18.7,19.9,33.8,6.2,4.9,6.7,38.1,62.7,59.8,27.6
893,London,5909,-1,9128,3454,39.1,47.5,6.2,3.7,2.3,5.9,1.1,2.5,2.4,5.5,6.6,22.7,19.9,6,7.9,5.1,1.5,0.7,78.1,5.9,14,2.4,3.1,82.9,27.9,4,11.9,20.9,24.5,4.4,3.2,4.2,34.7,51.8,55.6,20
894,London,8003,-1,14968,6064,38.7,47.5,7.1,3.7,2.2,5.8,1.3,2.3,2.1,5.3,6.7,22.9,20.2,5.4,7.5,5.4,1.3,0.7,82,7.9,6.3,1.9,0.1,76,27.5,5.6,16.9,17.4,33,3.7,4.2,5.6,42.4,68.7,51,20.8
895,London,5943,-1,11682,5262,35.5,42,6.9,3.4,1.9,4.1,0.8,1.6,1.7,7.1,13.2,29.5,16.3,3.8,5.2,3.2,0.9,0.5,76.5,12,7.1,1.3,0.2,43.1,18,29.1,26.2,13.4,58.8,6.4,4.6,6,60.8,119.4,53.9,23.3
896,London,4646,-1,13782,5820,34.7,41.6,6.7,3.4,2.1,5.3,1.2,1.9,2.1,7.9,11.9,28.7,16.1,3.6,5.1,3.1,0.7,0.4,60.2,20.4,12.9,3.9,0.9,34.7,12,28.3,33.8,17.3,37.3,7.8,6.6,9,37.1,102.2,67.5,33.5
897,London,5511,-1,12252,5562,35,40.4,5.3,2.9,1.6,4.3,0.8,1.7,2.9,10.4,14.9,27,14.8,3.9,5.2,3.2,0.7,0.4,71.1,11.8,12.9,2.4,0.5,31.1,13.7,39,27.7,16.3,51.5,11.3,4.9,6.9,56.5,151.5,59.4,25.8
898,London,5394,-1,12036,4961,37.4,44.6,7.1,3.3,1.9,4.9,0.6,1.4,3.4,6.4,9.3,27.3,15.8,4.5,7.1,4.7,1.4,0.8,74.2,3.8,16,4.1,0.9,49.7,29,7.5,40.4,6.1,61.4,10.9,2.7,3.8,67.4,80.5,45.1,13.1
899,London,7125,-1,17572,6384,30.2,39.7,10.4,5.4,2.7,7.1,1.4,2.6,2.9,9,9.5,26.3,14.2,2.8,3.4,1.9,0.3,0.2,42.4,36.4,17.6,4,1.3,22,6.1,48.3,27,21.8,26.7,12.2,8.5,12.4,25.9,68.8,72.4,35.9
900,London,5643,-1,11807,5229,35,40.9,6,2.6,1.8,4.9,0.9,1.7,1.5,5.4,14.4,32.6,17.1,4,4,2.1,0.5,0.2,74.1,13.9,6.8,1.2,0.3,45,14.2,22.9,30.5,10.1,60.5,5.9,4.7,5.9,59.5,110.6,52.6,21.4
901,London,7281,-1,14322,6125,34.5,41.3,7.1,3.4,2.2,4.8,0.9,1.8,1.3,7.1,12.9,30.9,16.4,3,4.3,2.9,0.8,0.4,62.1,25.9,7.2,1.4,1.3,40.5,12,24,33.8,13.5,46.4,5.6,5.8,7.4,46.3,115.4,58,25
902,London,6557,-1,15127,5406,32,40.5,8.2,4.2,2.6,7.2,1.4,2.7,3.6,11.4,8.6,23.5,15.6,3.2,4.5,2.6,0.5,0.2,42.6,36.6,12.7,2.8,1.2,25.9,8.5,37.1,33.8,24.7,23.1,14.7,7.5,11.9,22.3,81.2,76,40.7
903,London,7454,-1,18162,7493,33,42.6,9.6,4.6,2.6,6.3,1.4,3,2.7,6.7,8.9,25.5,16.8,3.3,4.4,3.1,0.8,0.4,34.4,40.3,20.6,6.9,3.9,39.5,10,27.2,29.9,18.9,28.4,8.2,7.2,10.2,30.6,81.8,69.3,31.7
904,London,7473,-1,16953,7584,35.4,42.8,8,3.4,1.7,4.7,1,2.2,1.8,6.5,10.9,29.2,17.2,3.9,5.1,3.2,1,0.4,56.4,20.2,19.6,7.9,2.2,51.6,15.5,12.3,34.2,15.3,38,5,5.4,7.1,42.9,109,57.4,24.1
905,London,6327,-1,16537,6351,32.1,42.6,9.9,5,3.1,7.5,1.7,3.1,2.6,6.7,8.2,23.6,17,3.3,4.7,2.8,0.5,0.2,54.9,29.6,8.2,2,0.6,48.5,12.9,24.2,24.2,26.5,23.5,6.8,7.8,11.5,26.2,52.2,69.2,32.6
906,London,5803,-1,14145,5087,33.1,42.2,9.5,4.7,2.5,6.2,1.3,2.3,2.1,7.8,8.6,26.4,17.1,3.6,4.1,2.7,0.7,0.5,51.5,22.5,20.1,2.1,9.4,55.7,14.5,14.9,27.9,18.7,29.3,7.9,5.7,7.9,32.5,78.8,61.3,27.5
907,London,5585,-1,11384,4470,38.6,47.5,6.6,3.8,2.3,6,1.2,2.8,2.7,6.7,6.5,20.6,20.2,5.2,7.4,5.3,1.7,1,68.8,14.9,11.4,2.4,4,69.9,24.6,14.9,13.3,26.2,21.6,5.1,5.4,7.7,29.8,56.4,66,29.8
908,London,6585,-1,13366,6081,34.2,40.6,7.1,3,1.7,4.9,1,1.7,1.8,8.8,13.7,28.2,16.5,3.6,4.7,2.6,0.5,0.2,64.2,20.8,9.5,1.8,0.4,29.1,9,41.8,27.2,17.3,45.2,7.3,6.3,8.7,45.3,161.9,65,32.4
909,London,6817,-1,14599,6069,35.4,43.1,8.3,3.8,2,4.6,0.9,1.9,1.6,6.1,10.3,29.6,17.1,4,5.2,3.3,0.8,0.5,65.1,12.9,16.1,5.1,3.1,48.3,15.4,18.6,29.8,15.1,40.6,5.7,5.2,6.9,42.7,74.9,58.4,26.1
910,London,5634,-1,13054,5132,38.7,48.1,6.5,4,2.5,6.7,1.6,2.6,2.6,6.2,6.7,19.2,19.2,6.3,8.6,5.5,1.3,0.5,88,6.7,4.3,1.3,0.8,69.7,24.8,20.9,8.1,30.4,15.3,3.6,5,7.3,25.6,13.7,64.6,27.9
911,London,8613,-1,15161,5992,41.8,51.1,5.9,3.8,2.3,6.1,1.2,2.5,1.8,4.6,4.5,21,20.3,6.2,9.1,6.7,2.3,1.6,85.5,3.8,9,3.9,0.4,82.4,32.4,5.6,10.8,14.5,40.7,3.3,2.7,3.7,53.4,31.9,42.8,13.3
912,London,7278,-1,14288,5309,35.7,45,7.9,4,2.6,6.7,1.4,2.8,2.4,5.7,7.4,25,18.3,4.5,6.1,4,0.8,0.4,62.3,14.4,16.7,5.3,2.4,53.5,17.8,23,21.7,18.2,33.3,6.3,4.8,6.7,35.7,66.3,62.4,29
913,London,7022,-1,15045,6666,33.5,38.8,5,3,1.8,4.9,0.9,2.1,3.1,12.5,15.4,26.5,13.7,3,4.2,3,0.6,0.3,63.9,16.9,12.5,1.6,0.5,21.7,7.6,46.4,27.4,18.8,43.3,14.9,5.5,8,44.9,152.8,70.1,33
914,London,8038,-1,15170,6535,33.9,40.5,6.9,3.5,2.1,5,0.8,1.7,1.7,7.9,12,31.5,16.6,3,4.2,2.2,0.5,0.3,60.4,27.5,7,1.4,0.3,38.2,12.5,29.8,30.3,12.2,52,7.6,5.4,6.9,51.1,76.6,54.4,22.9
915,London,6736,-1,15169,7032,34.1,38.9,4.9,2.7,1.9,3.8,0.7,1.5,1.7,10.7,17.4,29.6,15.1,2.9,3.9,2.4,0.7,0.3,63.1,22.6,8.7,1.5,0.4,24.5,8.6,36,36.2,13,51.6,9.5,4.8,6.2,51.9,125.5,59.9,25
916,London,8537,-1,15837,6650,32.5,39.9,7.4,3.9,2.6,5.9,1.1,2.3,1.9,8,13.1,28.9,15.8,2.5,3.4,2.5,0.5,0.2,47.4,41.3,5.7,1,0.6,27.6,8.2,43.9,25.9,14.7,42.7,8,6.9,9,41.6,157.8,65.2,28
